Date:,28-08-2023

Artist,Song
Eslabon Armado,"Eslabon Armado, Peso Pluma"
Peso Pluma,"Peso Pluma, Jasiel Nuñez"
Peso Pluma,"Peso Pluma, Gabito Ballesteros, Junior H"
Ivan Cornejo,Ivan Cornejo
liana flores,rises the moon
sierra,i know you
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]"
d4vd (@d4vddd),Romantic Homicide
Sonder,What You Heard
Peso Pluma,"Peso Pluma, Grupo Frontera"
David Kushner,Daylight
XXXTENTACION,Moonlight
Eslabon Armado,Jugaste y Sufrí (feat. DannyLux)
TV Girl,Not Allowed
pinkpantheress,Break It Off
Ivan Cornejo,Está Dañada
blonded,Pink + White
XXXTENTACION,SAD!
JVKE 🌩,golden hour
yot club,YKWIM?
Olivia Rodrigo,vampire
pinkpantheress,Pain
pinkpantheress,Boy's a Liar Pt. 2
VACATIONS,TELEPHONES
meta,TV Girl
zach templar,missin something
Peso Pluma,Rosa Pastel
TV Girl,Cigarettes Out The Window
XXXTENTACION,the remedy for a broken heart (why am I so in love)
Ivan Cornejo,Ivan Cornejo
Joy Again,Looking Out for You
Men I Trust,Men I Trust
angel perez,Perfecta en mis ojos
Rihanna,Loveeeeeee Song (feat. Future)
OurVinyl,Tyler Childers
d4vd (@d4vddd),Here With Me
𝙈𝘼𝙍𝙀𝙐𝙓,The Perfect Girl
Beach house,Space Song
Billie Eilish,lovely
Post Malone,Post Malone
KXLLSWXTCH,WASTE
EYEDRESS,Something About You (feat. Dent May)
XXXTENTACION,infinity (888) [feat. Joey Bada$$]
Alex G,Mary
Mac Levine,Sparks
The Kid LAROI.,Stay (with Justin Bieber)
tylerchilders,Jersey Giant
SHORTY † ☽,LONG TIME
Lukas Graham,7 Years
bôa,Duvet
